#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      5.42e+01      2.39e-01      1.71e+00    1.0e-03
    100      2.32e-01      8.16e-01      3.73e-03    1.0e-03
    200      1.52e-01      6.19e-01      3.23e-05    1.0e-03
    300      1.08e-01      4.42e-01      1.62e-05    1.0e-03
    400      7.28e-02      2.97e-01      1.07e-05    1.0e-03
    500      4.61e-02      1.88e-01      6.77e-06    1.0e-03
    600      2.74e-02      1.12e-01      4.16e-06    1.0e-03
    700      1.53e-02      6.24e-02      2.61e-06    1.0e-03
    800      7.99e-03      3.26e-02      1.85e-06    1.0e-03
    900      3.91e-03      1.60e-02      1.57e-06    1.0e-03
   1000      1.79e-03      7.31e-03      1.49e-06    1.0e-03
   1100      7.65e-04      3.12e-03      1.48e-06    1.0e-03
   1200      3.06e-04      1.23e-03      1.47e-06    1.0e-03
   1300      1.20e-04      4.53e-04      1.47e-06    1.0e-03
   1400      5.98e-05      1.53e-04      1.47e-06    1.0e-03
   1500      4.80e-05      4.77e-05      1.47e-06    1.0e-03
   1600      4.67e-05      1.36e-05      1.47e-06    1.0e-03
   1700      4.66e-05      3.51e-06      1.47e-06    1.0e-03
   1800      4.66e-05      8.19e-07      1.47e-06    1.0e-03
   1900      4.66e-05      1.72e-07      1.47e-06    1.0e-03
   2000      4.66e-05      3.21e-08      1.47e-06    1.0e-03
   2100      4.66e-05      5.29e-09      1.47e-06    1.0e-03
   2200      4.66e-05      7.60e-10      1.47e-06    1.0e-03
   2300      4.66e-05      9.44e-11      1.47e-06    1.0e-03
   2400      4.66e-05      9.97e-12      1.47e-06    1.0e-03
   2500      4.66e-05      8.81e-13      1.47e-06    1.0e-03
   2600      4.66e-05      8.53e-14      1.47e-06    1.0e-03
   2700      4.66e-05      2.61e-14      1.47e-06    1.0e-03
   2800      4.66e-05      9.47e-15      1.47e-06    1.0e-03
   2900      4.66e-05      4.74e-15      1.47e-06    1.0e-03
   3000      4.66e-05      2.37e-15      1.47e-06    1.0e-03
   3100      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3200      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3300      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3400      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3500      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3600      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3700      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   3800      4.66e-05      2.37e-15      1.47e-06    1.0e-03
   3900      4.66e-05      2.37e-15      1.47e-06    1.0e-03
   4000      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   4100      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   4200      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   4300      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   4400      4.66e-05      0.00e+00      1.47e-06    1.0e-03
   4500      4.66e-05      2.57e-11      1.47e-06    1.0e-03
   4600      2.29e-01      1.15e-01      7.20e-03    1.0e-03
   4700      5.74e-04      1.65e-05      1.82e-05    1.0e-03
   4800      4.69e-05      2.80e-06      1.48e-06    1.0e-03
   4900      4.66e-05      1.06e-08      1.47e-06    1.0e-03
   5000      3.87e-06      1.37e-11      1.47e-06    5.9e-06
   5100      3.87e-06      1.91e-12      1.47e-06    5.9e-06
   5200      3.87e-06      4.74e-15      1.47e-06    5.9e-06
   5300      3.87e-06      2.08e-13      1.47e-06    5.9e-06
   5400      3.87e-06      2.23e-13      1.47e-06    5.9e-06
   5500      3.87e-06      1.99e-13      1.47e-06    5.9e-06
   5600      3.87e-06      1.68e-13      1.47e-06    5.9e-06
   5700      3.87e-06      1.40e-13      1.47e-06    5.9e-06
   5800      3.87e-06      1.11e-13      1.47e-06    5.9e-06
   5900      3.87e-06      9.00e-14      1.47e-06    5.9e-06
   6000      3.87e-06      8.53e-14      1.47e-06    5.9e-06
   6100      3.87e-06      7.82e-14      1.47e-06    5.9e-06
   6200      3.87e-06      7.11e-14      1.47e-06    5.9e-06
   6300      3.87e-06      5.68e-14      1.47e-06    5.9e-06
   6400      3.87e-06      4.50e-14      1.47e-06    5.9e-06
   6500      3.87e-06      3.55e-14      1.47e-06    5.9e-06
   6600      3.87e-06      2.84e-14      1.47e-06    5.9e-06
   6700      3.87e-06      2.37e-14      1.47e-06    5.9e-06
   6800      3.87e-06      1.89e-14      1.47e-06    5.9e-06
   6900      3.87e-06      1.42e-14      1.47e-06    5.9e-06
   7000      3.87e-06      1.18e-14      1.47e-06    5.9e-06
   7100      3.87e-06      9.47e-15      1.47e-06    5.9e-06
   7200      3.87e-06      7.11e-15      1.47e-06    5.9e-06
   7300      3.87e-06      7.11e-15      1.47e-06    5.9e-06
   7400      3.87e-06      4.74e-15      1.47e-06    5.9e-06
   7500      3.87e-06      4.74e-15      1.47e-06    5.9e-06
   7600      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   7700      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   7800      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   7900      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8000      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8100      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   8200      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8300      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8400      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8500      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   8600      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   8700      3.87e-06      4.74e-15      1.47e-06    5.9e-06
   8800      3.87e-06      2.37e-15      1.47e-06    5.9e-06
   8900      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   9000      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   9100      3.87e-06      0.00e+00      1.47e-06    5.9e-06
   9200      3.87e-06      0.00e+00      1.47e-06    5.9e-06
